complaint_text,category,subcategory,department,urgency
Uneven road causing accidents at MG Road,Road,Potholes,Public Works Department,Medium
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,High
Damaged highway surface near Old Market,Road,Potholes,Public Works Department,Medium
Signal damaged at MG Road junction,Road,TrafficSignal,Traffic Management Department,Medium
Power outage reported in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Streetlight not working at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on street at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Rainwater accumulation at Sanjay Nagar,Water,Waterlogging,Drainage Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Footpath tiles missing at Sector 15,Road,Footpath,Urban Development Department,Medium
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Broken pipeline flooding Rajiv Chowk,Water,Leakage,Water Supply Department,High
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,Medium
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
No water in public toilet at Old Market,Sanitation,PublicToilet,Public Health Department,Medium
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Power outage reported in Sector 15,Electricity,PowerCut,Electricity Distribution Department,High
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Brown water supply in Old Market,Water,Quality,Water Quality Department,High
Blocked manhole in Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Medium
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Sewage water overflowing at Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Dangerous hanging wires at Old Market,Electricity,Wiring,Electrical Safety Department,High
Footpath tiles missing at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Contaminated water from taps at Old Market,Water,Quality,Water Quality Department,High
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Large potholes on Sector 15 road,Road,Potholes,Public Works Department,Medium
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,High
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,High
Severe water leakage in Old Market,Water,Leakage,Water Supply Department,High
Waterlogging after heavy rain in Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Pipeline leaking on street at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Overflowing dustbins in Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Low
Severe water leakage in Sanjay Nagar,Water,Leakage,Water Supply Department,High
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Medium
Signal cracked at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Drain blocked and water pooling at Sector 15,Water,Waterlogging,Drainage Department,Medium
Lamp post cracked in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Lamp post broken in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Water not safe for drinking in Sector 15,Water,Quality,Water Quality Department,High
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Signal broken at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Sewage water overflowing at Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Broken pipeline flooding Civil Lines,Water,Leakage,Water Supply Department,Medium
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Uneven lane causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Waterlogging after heavy rain in Civil Lines,Water,Waterlogging,Drainage Department,Medium
Power outage reported in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Trash scattered around Rajiv Chowk,Sanitation,Garbage,Municipal Sanitation Department,Medium
Loose electrical cables in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on road at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Signal faulty at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Large potholes on Old Market highway,Road,Potholes,Public Works Department,Low
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Clogged drain near Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Damaged road surface near MG Road,Road,Potholes,Public Works Department,Medium
Waterlogging after heavy rain in Old Market,Water,Waterlogging,Drainage Department,Medium
Multiple potholes in Sector 15,Road,Potholes,Public Works Department,Medium
Trash scattered around Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Medium
Large potholes on Civil Lines highway,Road,Potholes,Public Works Department,Low
No electricity supply since morning in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Damaged street surface near Rajiv Chowk,Road,Potholes,Public Works Department,Low
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Low
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Defective traffic signal in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,High
Uneven lane causing accidents at MG Road,Road,Potholes,Public Works Department,Medium
Electricity failure since last night in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Street flooded near Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
No proper pavement in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Streetlight not working at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Large potholes on MG Road road,Road,Potholes,Public Works Department,Low
Lamp post broken in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Signal damaged at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Trash scattered around Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Low
Large potholes on Sector 15 road,Road,Potholes,Public Works Department,Low
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Multiple potholes in Sanjay Nagar,Road,Potholes,Public Works Department,Low
